Sale ID,Date,AveragePrice,Total Avocados,Small 4046,Extra Large 4770,Large 4225,Total Bags,Small Bags,Large Bags,XLarge Bags,type,Cities
1,3/5/2017 0:00,0.44,4973,224,0,4749,59085,639,58446,0,organic,Cincinnati Dayton
1,2/5/2017 0:00,0.46,1750185,1200633,18325,531227,450366,113752,330583,6031,conventional,Phoenix Tucson
1,3/5/2017 0:00,0.48,4857,718,0,4139,46034,1385,44649,0,organic,Detroit
1,2/26/2017 0:00,0.49,4726,253,0,4473,39299,600,38699,0,organic,Cincinnati Dayton
1,12/27/2015 0:00,0.49,1036815,738315,11642,286858,100892,70749,30143,0,conventional,Phoenix Tucson
1,2/19/2017 0:00,0.51,5959,225,0,5734,36028,474,35554,0,organic,Cincinnati Dayton
1,1/1/2017 0:00,0.51,1281938,985040,6314,290584,193803,62497,131306,0,conventional,Houston
1,3/5/2017 0:00,0.51,2272,482,0,1790,14864,123,14741,0,organic,Nashville
1,4/19/2015 0:00,0.51,1269280,1097285,7534,164461,97565,44647,52918,0,conventional,Phoenix Tucson
1,3/6/2016 0:00,0.51,1312113,1037699,14567,259847,130860,76814,54046,0,conventional,Phoenix Tucson
1,3/5/2017 0:00,0.52,3710,702,0,3008,28404,1851,26553,0,organic,Columbus
1,6/7/2015 0:00,0.52,1335088,1130918,4500,199670,122272,90030,32242,0,conventional,Phoenix Tucson
1,2/5/2017 0:00,0.52,1213541,1067389,18640,127512,424013,144985,279028,0,conventional,West Tex New Mexico
1,1/15/2017 0:00,0.53,1322008,1134750,2712,184546,291152,242010,49139,3,conventional,Houston
1,2/26/2017 0:00,0.53,1226305,1067092,42394,116819,321032,292107,28925,0,conventional,Houston
1,2/5/2017 0:00,0.53,2768618,1741607,89679,937332,2701610,2656630,3466,41514,conventional,Los Angeles
1,4/26/2015 0:00,0.53,1177891,1012900,5833,159158,94538,76637,17901,0,conventional,Phoenix Tucson
1,6/14/2015 0:00,0.53,1231540,1046888,4263,180389,122310,94240,28070,0,conventional,Phoenix Tucson
1,12/20/2015 0:00,0.53,999749,785255,10347,204147,97475,72170,25305,0,conventional,Phoenix Tucson
1,2/7/2016 0:00,0.54,249567,191441,594,57532,120189,53302,66879,8,conventional,Jacksonville
1,2/5/2017 0:00,0.54,415985,286395,8149,121441,264250,56406,207844,0,conventional,Las Vegas
1,6/21/2015 0:00,0.54,1221072,1028046,4911,188115,122109,99129,22980,0,conventional,Phoenix Tucson
1,3/27/2016 0:00,0.54,1240932,952967,35479,252486,183007,102042,80965,0,conventional,Phoenix Tucson
1,4/24/2016 0:00,0.54,1163562,884293,14665,264604,188932,104062,83420,1450,conventional,Phoenix Tucson
1,1/22/2017 0:00,0.54,1221923,909749,15562,296612,379300,98983,280317,0,conventional,Phoenix Tucson
1,2/12/2017 0:00,0.54,1194133,917584,18976,257573,388744,118302,269543,899,conventional,Phoenix Tucson
1,2/5/2017 0:00,0.55,1573734,1026765,140963,406006,404190,316098,88070,22,conventional,Houston
1,2/7/2016 0:00,0.55,1437387,1093425,57213,286749,171809,88259,83550,0,conventional,Phoenix Tucson
1,5/15/2016 0:00,0.55,1158088,877702,13478,266908,160844,60966,99188,690,conventional,Phoenix Tucson
1,2/4/2018 0:00,0.56,1261120,952747,7990,300383,1120621,1010539,109978,104,conventional,Houston
1,3/25/2018 0:00,0.56,1004364,837701,4190,162473,1116146,952255,161188,2703,conventional,Houston
1,2/19/2017 0:00,0.56,1278,0,0,1278,9294,288,9006,0,organic,Louisville
1,3/5/2017 0:00,0.56,1311,9,0,1302,8491,307,8184,0,organic,Louisville
1,2/1/2015 0:00,0.56,1462313,1194635,6336,261342,82438,82438,0,0,conventional,Phoenix Tucson
1,5/31/2015 0:00,0.56,1170106,981854,10401,177851,111991,81585,30406,0,conventional,Phoenix Tucson
1,7/5/2015 0:00,0.56,1321829,1096453,5252,220124,135007,98977,36030,0,conventional,Phoenix Tucson
1,12/6/2015 0:00,0.56,1045242,760680,13355,271207,60259,60256,3,0,conventional,Phoenix Tucson
1,3/20/2016 0:00,0.56,1183336,877807,21556,283973,156192,91822,64370,0,conventional,Phoenix Tucson
1,4/10/2016 0:00,0.56,1208149,924032,37714,246403,179821,102611,75964,1246,conventional,Phoenix Tucson
1,12/18/2016 0:00,0.56,952062,733772,14396,203894,284141,135029,148668,444,conventional,Phoenix Tucson
1,2/7/2016 0:00,0.56,575079,385584,105,189390,247469,98976,148493,0,conventional,Tampa
1,2/5/2017 0:00,0.57,4853,198,0,4655,20214,458,19756,0,organic,Cincinnati Dayton
1,2/19/2017 0:00,0.57,6810,822,0,5988,31577,1151,30426,0,organic,Detroit
1,2/26/2017 0:00,0.57,5259,621,0,4638,30023,826,29197,0,organic,Detroit
1,1/8/2017 0:00,0.57,1134308,933182,2691,198435,282900,190479,92421,0,conventional,Houston
1,3/29/2015 0:00,0.57,1163805,998058,8639,157108,67462,43760,23702,0,conventional,Phoenix Tucson
1,4/5/2015 0:00,0.57,1237408,1058164,7128,172116,82913,49272,33641,0,conventional,Phoenix Tucson
1,2/28/2016 0:00,0.57,1150563,816555,22261,311747,139459,69825,69634,0,conventional,Phoenix Tucson
1,5/8/2016 0:00,0.57,1297044,941813,29263,325968,192225,80065,109498,2662,conventional,Phoenix Tucson
1,3/26/2017 0:00,0.57,1214045,990505,20131,203409,393892,219158,174185,549,conventional,Phoenix Tucson
1,5/15/2016 0:00,0.58,40320,34103,16,6201,54823,52269,2490,64,conventional,Boise
1,2/12/2017 0:00,0.58,1001062,781130,71472,148460,419749,278125,141600,24,conventional,Houston
1,2/11/2018 0:00,0.58,962257,801391,4407,156459,908617,747968,160355,294,conventional,Houston
1,2/7/2016 0:00,0.58,2808899,1262681,98684,1447534,2173801,1911609,245385,16807,conventional,Los Angeles
1,2/7/2016 0:00,0.58,404801,348348,566,55887,137949,114076,23873,0,conventional,New Orleans Mobile
1,5/1/2016 0:00,0.58,402847,341116,1500,60231,161892,118422,43470,0,conventional,New Orleans Mobile
